rss,cr,x,y,method,r,n
2.5,2283,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.41235521235521244,36
2.5,2284,expansion_speed_proxy_equator_mean,speed_mean,spearman,0.047361647361647365,36
2.5,2284,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.35263835263835264,36
2.5,2284,expansion_speed_proxy_midlat_mean,speed_mean,spearman,0.24684684684684685,36
2.5,2284,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.49395109395109404,36
2.5,2284,expansion_speed_proxy_global_mean,speed_mean,spearman,0.05997425997425997,36
2.5,2284,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.42393822393822395,36
2.5,2284,radial_expansion_proxy_equator_mean,speed_mean,spearman,-0.013384813384813388,36
2.5,2284,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.3438867438867439,36
2.5,2284,radial_expansion_proxy_midlat_mean,speed_mean,spearman,-0.21184041184041183,36
2.5,2284,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.4710424710424711,36
2.5,2284,radial_expansion_proxy_global_mean,speed_mean,spearman,-0.0362934362934363,36
2.5,2284,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.4023166023166024,36
2.5,2286,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.12394620014082178,36
2.5,2286,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.4718146718146718,36
2.5,2286,expansion_speed_proxy_midlat_mean,speed_mean,spearman,0.03024647666987863,36
2.5,2286,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.4247104247104247,36
2.5,2286,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.3261471143892444,36
2.5,2286,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.30373230373230375,36
2.5,2286,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.17221185440126638,36
2.5,2286,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.49678249678249686,36
2.5,2286,radial_expansion_proxy_midlat_mean,speed_mean,spearman,-0.020593345817789703,36
2.5,2286,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.39021879021879025,36
2.5,2286,radial_expansion_proxy_global_mean,speed_mean,spearman,0.3347705779504439,36
2.5,2286,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.30321750321750324,36
2.5,2287,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.0615737203972498,34
2.5,2287,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.011153552330022918,34
2.5,2287,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.2381970970206264,34
2.5,2287,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,-0.16149732620320856,34
2.5,2287,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.18197097020626432,34
2.5,2287,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.02796027501909855,34
2.5,2287,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.08754774637127577,34
2.5,2287,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.022459893048128343,34
2.5,2287,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.20977845683728039,34
2.5,2287,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,0.1654698242933537,34
2.5,2287,radial_expansion_proxy_global_mean,speed_mean,spearman,0.16730328495034374,34
2.5,2287,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.04690603514132925,34
2.5,2290,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.05083982248766832,36
2.5,2290,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.09909909909909911,36
2.5,2290,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.4251238827259962,36
2.5,2290,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.08828828828828829,36
2.5,2290,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.2161014226754307,36
2.5,2290,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.1588159588159588,36
2.5,2290,radial_expansion_proxy_equator_mean,speed_mean,spearman,-0.0024454598158625274,36
2.5,2290,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.10682110682110685,36
2.5,2290,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.4443014360188128,36
2.5,2290,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.09703989703989704,36
2.5,2290,radial_expansion_proxy_global_mean,speed_mean,spearman,0.21288371239140108,36
2.5,2290,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.15032175032175035,36
3.0,all,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.05253424932204583,214
3.0,all,expansion_speed_proxy_equator_mean,speed_mean,pearson,0.0107512702875253,214
3.0,all,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.16851148969804955,214
3.0,all,expansion_speed_proxy_equator_mean,bmag_mean,pearson,0.14548671895287857,214
3.0,all,expansion_speed_proxy_equator_mean,density_mean,spearman,0.13338863872213938,214
3.0,all,expansion_speed_proxy_equator_mean,density_mean,pearson,0.07219844497824622,214
3.0,all,expansion_speed_proxy_equator_mean,pdyn_mean,spearman,0.11133587003437709,214
3.0,all,expansion_speed_proxy_equator_mean,pdyn_mean,pearson,0.051119318051413176,214
3.0,all,expansion_speed_proxy_equator_mean,ma_mean,spearman,-0.1270874978189065,214
3.0,all,expansion_speed_proxy_equator_mean,ma_mean,pearson,-0.10662170316547805,214
3.0,all,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.05799540638327217,214
3.0,all,expansion_speed_proxy_midlat_mean,speed_mean,pearson,0.0003933379486897158,214
3.0,all,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.17263123222791696,214
3.0,all,expansion_speed_proxy_midlat_mean,bmag_mean,pearson,0.1242633061000705,214
3.0,all,expansion_speed_proxy_midlat_mean,density_mean,spearman,0.1483602768534703,214
3.0,all,expansion_speed_proxy_midlat_mean,density_mean,pearson,0.0669891907579304,214
3.0,all,expansion_speed_proxy_midlat_mean,pdyn_mean,spearman,0.1503586176918061,214
3.0,all,expansion_speed_proxy_midlat_mean,pdyn_mean,pearson,0.01255896822088518,214
3.0,all,expansion_speed_proxy_midlat_mean,ma_mean,spearman,-0.10228945942553823,214
3.0,all,expansion_speed_proxy_midlat_mean,ma_mean,pearson,-0.14410618735570013,214
3.0,all,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.13043410382387513,214
3.0,all,expansion_speed_proxy_global_mean,speed_mean,pearson,-0.05519659985848152,214
3.0,all,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.18226355638045136,214
3.0,all,expansion_speed_proxy_global_mean,bmag_mean,pearson,0.11697748926309327,214
3.0,all,expansion_speed_proxy_global_mean,density_mean,spearman,0.13237967251454827,214
3.0,all,expansion_speed_proxy_global_mean,density_mean,pearson,0.0735256791760474,214
3.0,all,expansion_speed_proxy_global_mean,pdyn_mean,spearman,0.09800380199038175,214
3.0,all,expansion_speed_proxy_global_mean,pdyn_mean,pearson,-0.024107454840266017,214
3.0,all,expansion_speed_proxy_global_mean,ma_mean,spearman,-0.14391788680354242,214
3.0,all,expansion_speed_proxy_global_mean,ma_mean,pearson,-0.14834523749656944,214
3.0,all,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.06882649714225819,214
3.0,all,radial_expansion_proxy_equator_mean,speed_mean,pearson,0.05134948905953145,214
3.0,all,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.17518732155206565,214
3.0,all,radial_expansion_proxy_equator_mean,bmag_mean,pearson,-0.0732786380229815,214
3.0,all,radial_expansion_proxy_equator_mean,density_mean,spearman,-0.1526043021878281,214
3.0,all,radial_expansion_proxy_equator_mean,density_mean,pearson,-0.033776932591626646,214
3.0,all,radial_expansion_proxy_equator_mean,pdyn_mean,spearman,-0.11689865338521019,214
3.0,all,radial_expansion_proxy_equator_mean,pdyn_mean,pearson,0.011426197727310421,214
3.0,all,radial_expansion_proxy_equator_mean,ma_mean,spearman,0.13412087390677468,214
3.0,all,radial_expansion_proxy_equator_mean,ma_mean,pearson,0.04147297688118869,214
3.0,all,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.053827294581385514,214
3.0,all,radial_expansion_proxy_midlat_mean,speed_mean,pearson,0.02062633512187729,214
