rss,cr,ballistic_phase10_deg,n,bmag_mean,br_rtn_mean,bt_rtn_mean,bn_rtn_mean,btan_rtn_mean,rtn_spiral_angle_mean_deg,pfss_equator_signed_mean,pfss_global_signed_mean,omni_rtn_radial_polarity,pfss_equator_polarity,pfss_global_polarity
2.0,2281,100.0,12,9.899999936421713,-5.033333361148834,6.5166665862003965,0.5499999870856603,7.633790464811454,130.23939932916363,-0.2536379202769154,-0.14415872224747356,-1.0,-1.0,-1.0
2.0,2281,110.0,15,5.793333371480306,-2.7266666809717814,2.426666663090388,-0.3599999854962031,3.5750849559021094,115.21185348073284,-0.20011048219684965,-0.11540031785127956,-1.0,-1.0,-1.0
2.0,2281,120.0,29,3.968965505731517,-2.4034482713403373,1.7965517234185646,0.010344829538772846,2.1498486883333223,108.0861241119045,-0.11021566999570793,-0.060924595983552994,-1.0,-1.0,-1.0
2.0,2281,130.0,6,3.7333333492279053,-1.8666666845480602,1.9166666567325592,-1.0666666651765506,2.5541563381080628,136.88528281577965,-0.028813885711218384,-0.012580244715811867,-1.0,-1.0,-1.0
2.0,2281,140.0,32,3.7281250059604645,-2.6187499798834324,0.78125,0.5374999972991645,1.8915943486601863,58.087064999251545,0.09242901382784055,0.05551871801302615,-1.0,1.0,1.0
2.0,2281,150.0,48,3.791666656732559,-0.8416666748623053,1.8583333330849807,-1.5895833427396913,2.722635726372257,99.956457791121,0.1663611935825249,0.09470652190660588,-1.0,1.0,1.0
2.0,2281,160.0,13,3.438461505449735,-0.12307693293461436,1.7999999889960656,-1.0692307651042938,2.890172960429258,46.416776575961144,0.17533228444147703,0.09904639915038087,-1.0,1.0,1.0
2.0,2281,170.0,5,15.3,-4.059999942779541,9.819999694824219,-3.0399999976158143,13.149530991296643,111.74663715321103,0.0628639423508503,0.030715388649075342,-1.0,1.0,1.0
2.0,2281,180.0,16,13.012500047683716,-0.6937500131316483,-4.1562500689178705,-3.9874999467283487,10.947717232433481,-34.53182634458879,-0.02181345200582547,-0.02489100394872692,-1.0,-1.0,-1.0
2.0,2281,190.0,10,10.719999980926513,1.2700000286102298,-9.79000015258789,-0.5000000052154064,9.903973183053449,-82.78022123143691,-0.1378580863768176,-0.10710373400192177,1.0,-1.0,-1.0
2.0,2281,200.0,12,9.991666634877523,1.6500000121692817,-8.458333293596903,-2.8833333551883698,9.127778391363021,-79.20827878636493,-0.23146793290296908,-0.1843959693581109,1.0,-1.0,-1.0
2.0,2281,210.0,17,5.78823532777674,1.4647058866479818,-3.729411745772642,-1.529411741915871,4.6732451936726065,-67.85891097890257,-0.2425818905233074,-0.20704133587037016,1.0,-1.0,-1.0
2.0,2281,220.0,17,5.911764705882353,2.117647032089093,-3.9882352772881005,-0.2705882226719576,4.482274269828411,-67.76954954433238,-0.19514203262017432,-0.19271154975451502,1.0,-1.0,-1.0
2.0,2281,230.0,13,4.738461567805364,0.7153846329221358,-2.284615363066013,-0.8384615331888199,3.5117619363750308,-23.86907393755038,-0.15672617205156858,-0.1742844487708883,1.0,-1.0,-1.0
2.0,2281,240.0,16,4.606249988079071,-1.1749999960884452,0.8312499932944775,-1.543749988079071,3.3618632311786962,22.819562036381654,-0.12172498142402177,-0.15297225772178571,-1.0,-1.0,-1.0
2.0,2281,250.0,10,6.429999971389771,-3.1799999594688417,2.9599999666213987,1.3600000157952308,4.456968443726683,136.7257408700549,-0.10355058005827185,-0.137151892449633,-1.0,-1.0,-1.0
2.0,2281,260.0,16,5.306250035762787,-3.649999976158142,1.281250009778887,0.23750000307336452,2.1741097938745524,93.48710270895718,-0.06875069213986165,-0.10799413140551126,-1.0,-1.0,-1.0
2.0,2281,270.0,24,5.020833333333333,-2.162500005836288,1.7916666728754838,-0.020833324330548426,3.0622981482973937,44.59834065499458,-0.043425305904619245,-0.08859162498729532,-1.0,-1.0,-1.0
2.0,2281,280.0,25,3.8160000038146973,-0.6319999897480011,1.7239999681711198,-0.24000000238418578,2.6771887181773515,72.81465999415389,-0.012345211052607632,-0.06261174630643607,-1.0,-1.0,-1.0
2.0,2281,290.0,25,3.8239999771118165,1.1519999885559082,0.2359999895095825,0.527999981045723,2.7406177949605315,31.175196505060594,-0.002233503247633052,-0.048267335247185274,1.0,-1.0,-1.0
2.0,2281,300.0,9,6.733333322736952,3.8444444603390164,-4.111111137602064,-2.300000011920929,5.0373983825207835,-45.60498793761978,0.002272192832261167,-0.0294906090916183,1.0,1.0,-1.0
2.0,2281,310.0,18,5.744444449742635,-0.7111111150847541,-3.2055555135011673,1.1722221941583686,4.475283939113043,-87.8913538968408,0.021180253240928218,0.010003040130641539,-1.0,1.0,1.0
2.0,2281,320.0,22,6.104545441540805,-0.4772727435285395,-2.422727265141227,0.4000000035898252,3.987593135130331,-52.39634306385122,0.03047532871310409,0.031855216779928114,-1.0,1.0,1.0
2.0,2281,330.0,35,5.817142881665911,1.874285682610103,-0.9828571540968759,1.5457142723458155,4.19970992513214,-19.78749690674566,0.03398056635051054,0.054954631513463775,1.0,1.0,1.0
2.0,2281,340.0,27,6.733333322736952,3.5851851679660656,-2.1777777663535542,-2.8407407380916454,4.537782325126761,-19.949570891600636,0.04889011312730287,0.07450085294261435,1.0,1.0,1.0
2.0,2281,350.0,27,3.8851851887173123,1.933333331236133,-2.2555555259739912,-1.2074074140853353,2.991866543577111,-55.651088792613756,0.08888857843847481,0.10162531638724633,1.0,1.0,1.0
2.0,2283,0.0,9,4.555555529064602,0.16666663355297512,-0.19999999966886314,0.5666666618651814,3.0380743099036147,45.618799753071244,-0.0010053676447486443,0.032217699588290745,1.0,-1.0,1.0
