sample,rss,cr,x,y,method,r,n,abs_r
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.2268149639324741,144,0.2268149639324741
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.26157463226428745,144,0.26157463226428745
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.06885899838304217,144,0.06885899838304217
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.11690780483883934,144,0.11690780483883934
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,speed_mean,pearson,-0.4303337043528953,36,0.4303337043528953
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,speed_mean,spearman,-0.41981981981981986,36,0.41981981981981986
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,bmag_mean,pearson,0.1466788308675697,36,0.1466788308675697
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,bmag_mean,spearman,0.2709312059152958,36,0.2709312059152958
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,density_mean,pearson,-0.010715232595265953,36,0.010715232595265953
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,density_mean,spearman,0.45379665379665374,36,0.45379665379665374
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.09968336268274115,36,0.09968336268274115
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,pdyn_mean,spearman,0.1734877734877735,36,0.1734877734877735
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,ma_mean,pearson,-0.26415139247436903,36,0.26415139247436903
ambient_without_cr2284,2.0,2281,pfss_equator_abs_mean,ma_mean,spearman,-0.19845559845559846,36,0.19845559845559846
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.4387624913977912,36,0.4387624913977912
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.45611325611325615,36,0.45611325611325615
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.118041798642296,36,0.118041798642296
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.23978377036588888,36,0.23978377036588888
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,density_mean,pearson,-0.036056821549183035,36,0.036056821549183035
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,density_mean,spearman,0.40025740025740025,36,0.40025740025740025
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.12791129078635727,36,0.12791129078635727
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,pdyn_mean,spearman,0.09652509652509651,36,0.09652509652509651
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.2593910987505203,36,0.2593910987505203
ambient_without_cr2284,2.0,2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.19922779922779926,36,0.19922779922779926
ambient_without_cr2284,2.0,2281,pfss_global_abs_mean,speed_mean,pearson,-0.4005995436279636,36,0.4005995436279636
